SMILES,Name
CC(C)NC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0148
CCCNC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0149
CCCN(COC(=O)c1ccc(S(N)(=O)=O)cc1)N=O,MOL0150
CCC(O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0151
CC(C)OC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0152
CCC(=O)OCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0153
C=C(COC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)OC,MOL0154
C=CC(=O)OCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0155
C=CC(=O)OCCCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0156
C#CC(=O)OCC#CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0157
CCN(CC)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0158
CCN(CC)CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0159
CCN(CC)CCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0160
CCN(CC)C(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0161
CC(N)=C(C#N)C(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0162
CCN(CCO)C(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0163
CCNC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0164
CCN(COC(=O)c1ccc(S(N)(=O)=O)cc1)N=O,MOL0165
CC(COC(=O)c1ccc(S(N)(=O)=O)cc1)([N+](=O)[O-])[N+](=O)[O-],MOL0166
CC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0167
CC(O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0168
CCOCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0169
CCOCCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0170
CC(O)CC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0171
CCOCCOCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0172
CC(=O)CC(=O)OCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0173
CCOC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0174
CCOC(=O)C=CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0175
CCOC(=O)NC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0176
CC(=O)NCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0177
CC(=O)NCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0178
CC(=O)OCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0179
CC(=O)OCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0180
CC(=O)OC(C)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0181
CC(=O)OC(CCl)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0182
CC(=O)OC(CO)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0183
CC(=O)OCC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0184
CC(=O)OCC(O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0185
CC(=O)OCP(C)(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0186
CCOP(=O)(COC(=O)c1ccc(S(N)(=O)=O)cc1)OCC,MOL0187
CCSCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0188
NS(=O)(=O)c1ccc(C(=O)OCCl)cc1,MOL0189
NS(=O)(=O)c1ccc(C(=O)OCCCl)cc1,MOL0190
NS(=O)(=O)c1ccc(C(=O)OCc2ccc(Cl)cc2)cc1,MOL0191
NS(=O)(=O)c1ccc(C(=O)OCc2ccc(Cl)c(Cl)c2)cc1,MOL0192
NS(=O)(=O)c1ccc(C(=O)OCc2ccc(Cl)cc2Cl)cc1,MOL0193
NS(=O)(=O)c1ccc(C(=O)OCc2cccc(Cl)c2)cc1,MOL0194
NS(=O)(=O)c1ccc(C(=O)OCc2cccc(Cl)c2Cl)cc1,MOL0195
NS(=O)(=O)c1ccc(C(=O)OCCc2ccc(Cl)cc2)cc1,MOL0196
NS(=O)(=O)c1ccc(C(=O)OCc2ccccc2Cl)cc1,MOL0197
NS(=O)(=O)c1ccc(C(=O)OCCc2cccc(Cl)c2)cc1,MOL0198
NS(=O)(=O)c1ccc(C(=O)OCc2c(Cl)cccc2Cl)cc1,MOL0199
NS(=O)(=O)c1ccc(C(=O)OCCCCl)cc1,MOL0200
NS(=O)(=O)c1ccc(C(=O)OCC#CCCl)cc1,MOL0201
NS(=O)(=O)c1ccc(C(=O)OCCCCCl)cc1,MOL0202
NS(=O)(=O)c1ccc(C(=O)OCC(Cl)=C(Cl)Cl)cc1,MOL0203
NS(=O)(=O)c1ccc(C(=O)OCC(Cl)(Cl)Cl)cc1,MOL0204
CN1CCCC1COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0205
CNCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0206
CN(CCOC(=O)c1ccc(S(N)(=O)=O)cc1)C(C)(C)C,MOL0207
CN(C)CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0208
CN(C)C1CC1COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0209
CN(C)CCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0210
CN(C)CC#CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0211
CN(C)CCCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0212
CN(CCCl)CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0213
CN(C)C(CO)CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0214
CN(CC(N)=O)C(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0215
CN(C)C(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0216
CN(CCO)C(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0217
CN(C)C(=O)OCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0218
CN(CC(=O)O)C(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0219
CNC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0220
C[N+](C)([O-])CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0221
CNC(=O)NC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0222
CN(COC(=O)c1ccc(S(N)(=O)=O)cc1)N=O,MOL0223
COCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0224
COCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0225
COc1ccc(COC(=O)c2ccc(S(N)(=O)=O)cc2)cc1,MOL0226
COc1cccc(COC(=O)c2ccc(S(N)(=O)=O)cc2)c1,MOL0227
COc1ccccc1COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0228
COC(CF)(COC(=O)c1ccc(S(N)(=O)=O)cc1)OC,MOL0229
COCCOCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0230
COC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0231
COC(=O)CCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0232
COC(=O)C(N)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0233
COC(=O)CNC(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0234
COP(=O)(COC(=O)c1ccc(S(N)(=O)=O)cc1)OC,MOL0235
CSCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0236
CSCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0237
CSc1ccc(COC(=O)c2ccc(S(N)(=O)=O)cc2)cc1,MOL0238
CSc1ccccc1COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0239
CS(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0240
CS(=O)CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0241
CS(=O)(=O)COC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0242
CS(=O)(=O)CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0243
CS(=O)(=O)SCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0244
NS(=O)(=O)c1ccc(C(=O)OCc2ccc(Br)cc2F)cc1,MOL0245
